<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STORJ.V,D,20220514,000000,0.547068,0.552459,0.476397,0.535496,3430465.462782033,0
STORJ.V,D,20220515,000000,0.536048,0.584997,0.527314,0.584797,2688087.2241498767,0
STORJ.V,D,20220516,000000,0.586096,0.597882,0.521274,0.547687,2023494.9430129041,0
STORJ.V,D,20220517,000000,0.549185,0.588693,0.532254,0.586595,2465185.4602861395,0
STORJ.V,D,20220518,000000,0.587195,0.636871,0.531209,0.543293,5356698.98621234,0
STORJ.V,D,20220519,000000,0.545989,0.572784,0.496853,0.542657,3117144.7890376383,0
STORJ.V,D,20220520,000000,0.542257,0.578737,0.516579,0.531009,3873656.1261155987,0
STORJ.V,D,20220521,000000,0.531561,0.562368,0.514382,0.535803,4129568.1296648053,0
STORJ.V,D,20220522,000000,0.534005,0.648021,0.534005,0.580702,7794401.4255353175,0
STORJ.V,D,20220523,000000,0.580802,0.624275,0.573311,0.583998,4641435.185030816,0
STORJ.V,D,20220524,000000,0.582542,0.582542,0.527466,0.570757,3978575.5401681764,0
STORJ.V,D,20220525,000000,0.571698,0.585996,0.543701,0.563479,3663043.967678034,0
STORJ.V,D,20220526,000000,0.565121,0.579362,0.498002,0.531368,4604017.197345196,0
STORJ.V,D,20220527,000000,0.532613,0.544155,0.48981,0.509839,4994028.691099487,0
STORJ.V,D,20220528,000000,0.510817,0.530211,0.498082,0.521789,3074861.525260162,0
STORJ.V,D,20220529,000000,0.52068,0.556931,0.509195,0.544395,2794917.9599876525,0
STORJ.V,D,20220530,000000,0.547392,0.598681,0.536714,0.592285,3272679.444074521,0
STORJ.V,D,20220531,000000,0.592585,0.602318,0.558209,0.578437,3540169.988948186,0
STORJ.V,D,20220601,000000,0.580136,0.611973,0.550294,0.556099,5033308.853876712,0
STORJ.V,D,20220602,000000,0.552713,0.614347,0.551203,0.593066,5645563.413185641,0
STORJ.V,D,20220603,000000,0.592067,0.602457,0.555372,0.573101,2517879.2916422524,0
STORJ.V,D,20220604,000000,0.5737,0.575205,0.541936,0.558275,7213018.411832538,0
STORJ.V,D,20220605,000000,0.560674,0.585678,0.545558,0.579455,6802690.908856181,0
STORJ.V,D,20220606,000000,0.580953,0.631594,0.576064,0.601394,18336749.719386492,0
STORJ.V,D,20220607,000000,0.602693,0.61078,0.554734,0.589046,14482814.572322888,0
