<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVER.V,D,20220515,000000,0.232175,0.239616,0.229256,0.2305,2227477.0909246,0
EVER.V,D,20220516,000000,0.230523,0.244706,0.229747,0.239664,5238915.2313716,0
EVER.V,D,20220517,000000,0.240063,0.244631,0.237091,0.239089,3730340.3701193,0
EVER.V,D,20220518,000000,0.239089,0.244606,0.224608,0.226305,2806909.9118611,0
EVER.V,D,20220519,000000,0.226305,0.230569,0.219758,0.230569,463829.98746231,0
EVER.V,D,20220520,000000,0.229271,0.229793,0.220635,0.22251,582739.04686079,0
EVER.V,D,20220521,000000,0.222533,0.223432,0.207031,0.207829,3032095.145469,0
EVER.V,D,20220522,000000,0.207809,0.213023,0.205133,0.206911,1478942.4066127,0
EVER.V,D,20220523,000000,0.207011,0.216362,0.207011,0.210611,5803821.4993832,0
EVER.V,D,20220524,000000,0.210632,0.216988,0.208811,0.213266,13842160.779704,0
EVER.V,D,20220525,000000,0.213266,0.218179,0.20908,0.216237,13276056.435178,0
EVER.V,D,20220526,000000,0.216352,0.217932,0.211231,0.211655,9678109.4022603,0
EVER.V,D,20220527,000000,0.211634,0.21663,0.210312,0.216277,9529140.0240382,0
EVER.V,D,20220528,000000,0.216277,0.219435,0.214321,0.218896,10715498.996965,0
EVER.V,D,20220529,000000,0.218933,0.22774,0.218461,0.224357,7023001.4453707,0
EVER.V,D,20220530,000000,0.224303,0.229099,0.220758,0.222455,10828541.346178,0
EVER.V,D,20220531,000000,0.223493,0.232554,0.219377,0.231425,8035469.5561155,0
EVER.V,D,20220601,000000,0.231681,0.238809,0.229823,0.234049,5884285.1925076,0
EVER.V,D,20220602,000000,0.234049,0.236917,0.223798,0.228154,11952452.295866,0
EVER.V,D,20220603,000000,0.228154,0.228384,0.223165,0.224744,18618394.49559,0
EVER.V,D,20220604,000000,0.224746,0.225206,0.21723,0.219833,22357165.884824,0
EVER.V,D,20220605,000000,0.220135,0.221145,0.215795,0.217098,23302371.187153,0
EVER.V,D,20220606,000000,0.217296,0.217502,0.20862,0.209422,29609369.567431,0
EVER.V,D,20220607,000000,0.209332,0.212321,0.199622,0.200238,18299472.300896,0
EVER.V,D,20220608,000000,0.200639,0.206959,0.200533,0.205167,24801297.281296,0
EVER.V,D,20220609,000000,0.205167,0.209545,0.201633,0.203129,32905410.987035,0
EVER.V,D,20220610,000000,0.203129,0.204644,0.187697,0.189859,81277018.079943,0
EVER.V,D,20220611,000000,0.189857,0.191893,0.179488,0.182194,13425935.465324,0
EVER.V,D,20220612,000000,0.181794,0.187756,0.173984,0.176982,14938001.145082,0
EVER.V,D,20220613,000000,0.177282,0.17758,0.149076,0.15079,69191868.438678,0
EVER.V,D,20220614,000000,0.150592,0.152408,0.143484,0.145925,29223555.48386,0
EVER.V,D,20220615,000000,0.145725,0.149027,0.13571,0.142386,171250043.22233,0
EVER.V,D,20220616,000000,0.141887,0.150834,0.13832,0.139019,55035640.398885,0
EVER.V,D,20220617,000000,0.13821,0.140803,0.132075,0.133639,24159824.267646,0
EVER.V,D,20220618,000000,0.13334,0.134212,0.118198,0.121103,60835187.846482,0
EVER.V,D,20220619,000000,0.121302,0.132341,0.119121,0.131229,12472195.838647,0
EVER.V,D,20220620,000000,0.131342,0.132454,0.123824,0.123993,9611048.3075371,0
EVER.V,D,20220621,000000,0.123894,0.129957,0.123452,0.125762,14037847.424563,0
EVER.V,D,20220622,000000,0.125362,0.125674,0.116583,0.116883,14022761.288223,0
EVER.V,D,20220623,000000,0.116883,0.11982,0.115125,0.117271,10023603.742282,0
EVER.V,D,20220624,000000,0.117682,0.117912,0.114009,0.116108,20774237.673638,0
EVER.V,D,20220625,000000,0.116084,0.116384,0.113586,0.11422,5340466.872554,0
EVER.V,D,20220626,000000,0.11488,0.114983,0.109632,0.109732,9252766.431655,0
EVER.V,D,20220627,000000,0.109732,0.110233,0.107805,0.108503,6701546.294728,0
EVER.V,D,20220628,000000,0.108503,0.109524,0.098219,0.099378,4568557.8182047,0
EVER.V,D,20220629,000000,0.099377,0.103666,0.097663,0.09888,4694355.1198921,0
EVER.V,D,20220630,000000,0.09888,0.0991209,0.0900963,0.0911904,17804047.27059,0
EVER.V,D,20220701,000000,0.0911904,0.0914992,0.0901826,0.0906002,6837491.3946379,0
EVER.V,D,20220702,000000,0.0906002,0.0908,0.0864874,0.0868956,8195742.8933242,0
EVER.V,D,20220703,000000,0.0862877,0.0877945,0.0820931,0.0820931,3093165.8494627,0
EVER.V,D,20220704,000000,0.0820931,0.0844101,0.0816356,0.0831801,6832968.5808749,0
