<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASD.V,D,20220514,000000,0.14313,0.14313,0.1421,0.1421,4720.10729963,0
ASD.V,D,20220515,000000,0.146195,0.15107,0.14618,0.15042,5664.536935000001,0
ASD.V,D,20220516,000000,0.15037,0.15549,0.15037,0.15338,319373.7040948227,0
ASD.V,D,20220517,000000,0.15338,0.1555,0.15338,0.15423,1603346.628981641,0
ASD.V,D,20220518,000000,0.153336,0.15547,0.15119,0.15183,1398521.6226594995,0
ASD.V,D,20220519,000000,0.15202,0.15293,0.14974,0.15133,1536665.640557905,0
ASD.V,D,20220520,000000,0.1515,0.15363,0.14976,0.15106,1515762.948807228,0
ASD.V,D,20220521,000000,0.15103,0.15139,0.14968,0.1499,1387797.3196901167,0
ASD.V,D,20220522,000000,0.14982,0.15122,0.14952,0.1506,1437072.7564255923,0
ASD.V,D,20220523,000000,0.150849,0.153721,0.150245,0.152597,1338533.276463441,0
ASD.V,D,20220524,000000,0.152707,0.153711,0.150784,0.151203,1337755.698540705,0
ASD.V,D,20220525,000000,0.151013,0.152632,0.150175,0.150614,1309321.206775459,0
ASD.V,D,20220526,000000,0.150584,0.151683,0.149226,0.14988,1406517.9463069844,0
ASD.V,D,20220527,000000,0.14974,0.15008,0.147972,0.148911,1403006.7543655103,0
ASD.V,D,20220528,000000,0.149068,0.149262,0.148232,0.148706,1440323.143921108,0
ASD.V,D,20220529,000000,0.148523,0.149166,0.147577,0.148027,1457646.71252964,0
ASD.V,D,20220530,000000,0.147796,0.150864,0.141799,0.146762,1882135.9238171428,0
ASD.V,D,20220531,000000,0.146723,0.148396,0.146158,0.147627,1846495.0950489196,0
ASD.V,D,20220601,000000,0.14798,0.1483,0.145789,0.145979,1697881.550103857,0
ASD.V,D,20220602,000000,0.145994,0.14767,0.14548,0.14595,1534519.9733341646,0
ASD.V,D,20220603,000000,0.14595,0.14634,0.1441,0.14548,1644178.9910458634,0
ASD.V,D,20220604,000000,0.14547,0.14618,0.14423,0.14467,1553016.0370631597,0
ASD.V,D,20220605,000000,0.14467,0.14678,0.14333,0.14396,1553233.6104153988,0
ASD.V,D,20220606,000000,0.14397,0.14684,0.14375,0.14684,1640786.1632010867,0
ASD.V,D,20220607,000000,0.14682,0.14765,0.14341,0.14635,1489426.061235997,0
ASD.V,D,20220608,000000,0.14635,0.14719,0.140002,0.14001,2291674.864250345,0
ASD.V,D,20220609,000000,0.140096,0.142689,0.139474,0.139483,1420454.5241270598,0
ASD.V,D,20220610,000000,0.13949,0.142781,0.136481,0.140919,2506530.637163177,0
ASD.V,D,20220611,000000,0.140843,0.140851,0.136328,0.136546,1645144.7206167511,0
ASD.V,D,20220612,000000,0.137243,0.137506,0.132735,0.132836,1847372.307634266,0
ASD.V,D,20220613,000000,0.135242,0.135803,0.123114,0.12313,1598641.9740609431,0
ASD.V,D,20220614,000000,0.123129,0.12774,0.121506,0.125,3400451.8611418554,0
ASD.V,D,20220615,000000,0.12528,0.12929,0.122012,0.126,5268089.352900684,0
ASD.V,D,20220616,000000,0.12683,0.12802,0.12465,0.126136,2215309.097814106,0
ASD.V,D,20220617,000000,0.125626,0.12803,0.123436,0.125351,22104751.740635697,0
ASD.V,D,20220618,000000,0.123951,0.1268,0.12123,0.12288,15170091.663640214,0
ASD.V,D,20220619,000000,0.12287,0.12388,0.119,0.11977,3635763.8982151314,0
ASD.V,D,20220620,000000,0.12044,0.12096,0.11538,0.11636,2365253.6115043615,0
ASD.V,D,20220621,000000,0.11659,0.11758,0.11363,0.11488,1742136.5177445514,0
ASD.V,D,20220622,000000,0.113936,0.113946,0.11055,0.11178,2267573.760991395,0
ASD.V,D,20220623,000000,0.11149,0.1121,0.10553,0.10701,2261903.0749435513,0
ASD.V,D,20220624,000000,0.10748,0.1079,0.104406,0.105417,3248606.050808904,0
ASD.V,D,20220625,000000,0.105295,0.106139,0.104413,0.106126,2397140.1732791993,0
ASD.V,D,20220626,000000,0.106328,0.10701,0.104637,0.10529,3600593.174021575,0
ASD.V,D,20220627,000000,0.1052,0.10527,0.09827,0.09827,2085206.5577638745,0
ASD.V,D,20220628,000000,0.09829,0.09868,0.08666,0.08666,2823884.3944825563,0
ASD.V,D,20220629,000000,0.08672,0.08723,0.0385,0.056,12940453.266997455,0
ASD.V,D,20220630,000000,0.052,0.14185,0.04693,0.0798,14529210.452967796,0
ASD.V,D,20220701,000000,0.08062,0.08062,0.0682,0.07959,8584912.202271683,0
ASD.V,D,20220702,000000,0.07928,0.08609,0.07026,0.07224,4495964.648149396,0
ASD.V,D,20220703,000000,0.07219,0.07274,0.0619,0.0619,8429158.893765902,0
ASD.V,D,20220704,000000,0.06263,0.06549,0.04905,0.05484,6785741.389791443,0
