<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVX.V,D,20220127,000000,27.38095,27.45372,21.70868,22.68134,65058.827802587,0
CVX.V,D,20220128,000000,22.66906,24.9975,22.07662,24.27728,56611.04048655,0
CVX.V,D,20220129,000000,24.29486,28.22847,24.25485,27.28818,65679.930217037,0
CVX.V,D,20220130,000000,27.28818,29.0187,25.18755,26.14784,73517.820987646,0
CVX.V,D,20220131,000000,26.15046,27.53376,25.30264,27.07624,41218.885633687,0
CVX.V,D,20220201,000000,27.07353,29.57478,26.49589,27.6766,70801.625961917,0
CVX.V,D,20220202,000000,27.73663,29.2146,26.02301,26.60126,54568.989350332,0
CVX.V,D,20220203,000000,26.60392,26.81876,23.8219,26.05302,67157.162575738,0
CVX.V,D,20220204,000000,26.02301,29.95497,25.57534,28.09246,129258.31006689,0
CVX.V,D,20220205,000000,28.10966,29.07034,27.88951,28.7301,36387.974254201,0
CVX.V,D,20220206,000000,28.86731,28.87019,25.48273,25.93037,86958.228522863,0
CVX.V,D,20220207,000000,25.91295,28.26542,25.84291,27.56928,83801.890292584,0
CVX.V,D,20220208,000000,27.59931,28.91022,26.4638,27.63485,73665.080434257,0
CVX.V,D,20220209,000000,27.64486,30.77767,27.64486,30.17315,185551.83975875,0
CVX.V,D,20220210,000000,30.19016,30.75458,26.37845,27.19903,102299.04739485,0
CVX.V,D,20220211,000000,27.06953,27.19834,24.10723,24.10964,54183.527235008,0
CVX.V,D,20220212,000000,24.42709,25.84291,24.06443,25.76287,83600.232560006,0
CVX.V,D,20220213,000000,25.86293,28.31698,25.10254,25.27263,80421.966001994,0
CVX.V,D,20220214,000000,25.29517,26.29577,24.75484,26.06563,45145.900294546,0
CVX.V,D,20220215,000000,26.11566,28.93735,25.90294,28.41704,51921.181045103,0
CVX.V,D,20220216,000000,28.48708,30.04101,27.91674,29.54772,61244.719245643,0
CVX.V,D,20220217,000000,29.50769,29.59775,26.53591,26.66865,36231.625089342,0
CVX.V,D,20220218,000000,26.64864,28.27978,25.95816,26.00559,41597.285969112,0
CVX.V,D,20220219,000000,26.00559,26.8561,25.0125,25.32265,30240.969482873,0
CVX.V,D,20220220,000000,25.27015,25.42124,22.51925,23.08854,36008.69133464,0
CVX.V,D,20220221,000000,23.08854,24.07303,21.58863,22.23889,34457.453359162,0
CVX.V,D,20220222,000000,22.2211,22.43121,19.85794,20.77038,87548.235997657,0
CVX.V,D,20220223,000000,20.81248,22.07324,20.4202,20.66239,61171.979141223,0
CVX.V,D,20220224,000000,20.6724,20.73243,16.17808,18.60744,71259.371621426,0
CVX.V,D,20220225,000000,18.51555,20.3561,18.50555,19.63981,47230.072697013,0
CVX.V,D,20220226,000000,19.65982,21.2485,19.65982,20.18009,41007.455127081,0
CVX.V,D,20220227,000000,20.16806,20.16806,17.63705,17.65882,36942.469117007,0
CVX.V,D,20220228,000000,17.65906,25.90146,16.21668,19.59659,451421.20330679,0
CVX.V,D,20220301,000000,19.68787,19.99999,18.27273,18.81564,396118.49700691,0
CVX.V,D,20220302,000000,18.6826,32.17013,18.63403,21.22734,1033892.756069,0
CVX.V,D,20220303,000000,21.22637,22.10663,19.4939,19.87596,376367.93835505,0
CVX.V,D,20220304,000000,19.87017,19.94958,15.47924,17.82635,841439.93113013,0
CVX.V,D,20220305,000000,18.02541,18.10543,16.46329,17.53526,409714.83072362,0
CVX.V,D,20220306,000000,17.50525,18.20546,17.0034,17.16515,157470.98147158,0
CVX.V,D,20220307,000000,17.30519,17.30519,15.11453,15.62469,183908.77543083,0
CVX.V,D,20220308,000000,15.60312,16.20162,15.43463,15.85317,80975.926069943,0
CVX.V,D,20220309,000000,15.86317,17.43349,15.84317,16.9717,128037.47820902,0
CVX.V,D,20220310,000000,16.96339,17.14171,15.82633,16.12645,132049.25532456,0
CVX.V,D,20220311,000000,16.21648,16.90507,15.90318,16.11322,91847.537399812,0
CVX.V,D,20220312,000000,16.11322,16.79168,16.0116,16.44164,78009.736815587,0
CVX.V,D,20220313,000000,16.44493,16.51495,15.78316,15.85475,53060.881032116,0
CVX.V,D,20220314,000000,15.84634,16.25325,15.26153,16.05321,84865.084273933,0
CVX.V,D,20220315,000000,16.06321,18.44553,15.73315,17.36347,346488.31941402,0
CVX.V,D,20220316,000000,17.36347,20.72622,17.25345,18.28548,370187.41416235,0
CVX.V,D,20220317,000000,18.27548,19.42583,18.08542,18.59729,135970.45712123,0
CVX.V,D,20220318,000000,18.65246,20.78246,18.34734,19.84794,185321.82689702,0
CVX.V,D,20220319,000000,19.7658,20.31218,19.42777,19.54782,79305.742872539,0
CVX.V,D,20220320,000000,19.56782,19.77989,18.0172,19.13765,81374.200464046,0
CVX.V,D,20220321,000000,19.05953,21.84874,18.77751,20.46022,235404.18656197,0
CVX.V,D,20220322,000000,20.42817,21.07053,20.05802,20.88043,76546.042372265,0
CVX.V,D,20220323,000000,20.88043,21.57078,20.18807,20.87043,64763.592330682,0
CVX.V,D,20220324,000000,20.89044,23.8119,20.87835,22.98919,116787.35339187,0
CVX.V,D,20220325,000000,23.0192,25.78031,22.86914,24.10964,262517.07384468,0
CVX.V,D,20220326,000000,24.10964,28.23411,23.97198,27.521,329831.9577596,0
CVX.V,D,20220327,000000,27.48099,32.54301,27.47098,30.85234,357278.87277014,0
CVX.V,D,20220328,000000,30.84233,32.11926,29.5118,30.83233,197608.86280286,0
CVX.V,D,20220329,000000,30.87543,32.12284,28.71148,28.87443,209403.3205227,0
CVX.V,D,20220330,000000,28.85442,30.85926,28.59143,29.90598,150827.87294519,0
CVX.V,D,20220331,000000,29.85597,31.45629,28.43569,28.85577,89764.035278108,0
CVX.V,D,20220401,000000,28.83865,31.98279,27.90837,30.05901,215203.82176808,0
CVX.V,D,20220402,000000,30.04601,35.20056,29.72892,33.18327,356706.59859906,0
CVX.V,D,20220403,000000,33.19996,37.62128,32.55302,36.3509,299985.63925172,0
CVX.V,D,20220404,000000,36.47458,39.88595,35.28058,36.98109,259478.68945242,0
CVX.V,D,20220405,000000,36.94739,38.61158,36.06361,36.38364,142997.32895653,0
CVX.V,D,20220406,000000,36.38728,36.58732,33.77,34.47345,193384.51817624,0
CVX.V,D,20220407,000000,34.46345,34.69347,33.55335,34.24342,125081.99707215,0
CVX.V,D,20220408,000000,34.25343,36.16723,34.10341,34.98399,190370.50108593,0
CVX.V,D,20220409,000000,35.004,35.14405,34.17025,34.62038,108556.72745333,0
CVX.V,D,20220410,000000,34.62038,35.96079,34.45033,35.08702,70901.69736201,0
CVX.V,D,20220411,000000,35.10702,35.13703,29.56887,29.56887,186660.16530226,0
CVX.V,D,20220412,000000,29.57591,30.53611,28.34567,28.59858,99649.840939984,0
CVX.V,D,20220413,000000,28.59858,29.98899,28.20564,29.71891,116096.56937091,0
CVX.V,D,20220414,000000,29.74892,30.29606,28.0056,28.42284,54638.139462805,0
CVX.V,D,20220415,000000,28.40568,28.75575,28.04561,28.58572,36447.451885893,0
CVX.V,D,20220416,000000,28.62572,28.63773,27.92558,28.0256,47147.606515918,0
CVX.V,D,20220417,000000,28.0328,28.28566,26.96539,27.09542,36621.927410783,0
CVX.V,D,20220418,000000,27.07541,28.56857,25.28506,28.05842,109423.44183955,0
CVX.V,D,20220419,000000,28.05842,29.35881,27.31546,28.18564,190279.30822678,0
CVX.V,D,20220420,000000,28.21564,29.80596,27.78556,29.55591,98881.735828746,0
CVX.V,D,20220421,000000,29.55591,30.4861,28.16563,28.92578,116535.54205866,0
CVX.V,D,20220422,000000,28.90289,28.95289,23.40468,25.90259,555117.27912465,0
CVX.V,D,20220423,000000,25.83517,26.34527,25.43509,25.66513,98566.456273395,0
CVX.V,D,20220424,000000,25.78516,26.12522,25.31506,25.62512,58520.125725408,0
CVX.V,D,20220425,000000,25.63513,26.24525,24.16483,26.0052,109858.54247849,0
CVX.V,D,20220426,000000,26.03521,26.58532,24.24,24.52,47336.916273519,0
CVX.V,D,20220427,000000,24.54,27.69277,24.13,27.16272,149172.57056974,0
CVX.V,D,20220428,000000,27.21272,27.95279,26.48,27.0027,102310.45889074,0
CVX.V,D,20220429,000000,26.9727,27.09271,25,25.09251,61201.480923473,0
CVX.V,D,20220430,000000,25.09251,25.15251,23.51,23.54235,62069.15002716,0
CVX.V,D,20220501,000000,23.51,24.36244,21.88219,22.62,122320.04585094,0
CVX.V,D,20220502,000000,22.62,23.42234,21.98,22.46225,87818.694674285,0
CVX.V,D,20220503,000000,22.46,23.68237,22.08558,22.53775,145037.49516203,0
CVX.V,D,20220504,000000,22.52549,25.95,22.21778,25.59,164849.51483506,0
CVX.V,D,20220505,000000,25.57488,25.84225,22.31554,23.21536,118951.32432904,0
CVX.V,D,20220506,000000,23.22535,23.48765,21.74782,23.24768,109643.02542209,0
CVX.V,D,20220507,000000,23.17768,23.42766,22.56549,22.59548,53842.604143294,0
CVX.V,D,20220508,000000,22.57548,23.09538,20.64967,21.9834,126978.27834041,0
CVX.V,D,20220509,000000,21.97341,21.97341,19.05428,19.53609,80311.037494381,0
CVX.V,D,20220510,000000,19.26422,22.15557,18.49445,20.01199,137106.72846478,0
CVX.V,D,20220511,000000,20.06197,21.81909,12.95534,14.11615,274588.0912187,0
CVX.V,D,20220512,000000,14.17877,15.0052,9.66318,12.09968,273640.66909368,0
CVX.V,D,20220513,000000,12.05615,15.28317,11.26949,13.04778,221164.05514634,0
CVX.V,D,20220514,000000,13.0864,13.12764,10.77948,11.32412,127297.63029758,0
CVX.V,D,20220515,000000,11.35408,11.99319,10.7838,11.88572,154279.57250868,0
CVX.V,D,20220516,000000,11.92567,12.17537,10.60832,11.12552,82877.634920576,0
CVX.V,D,20220517,000000,11.11553,13.4811,10.9846,12.22409,181466.29321352,0
CVX.V,D,20220518,000000,12.30398,12.55492,10.80702,10.96573,89161.675698886,0
CVX.V,D,20220519,000000,10.9857,11.15548,9.92907,10.29969,174113.54898833,0
CVX.V,D,20220520,000000,10.30072,10.65254,9.75024,9.88812,130485.57343179,0
CVX.V,D,20220521,000000,9.88812,10.07688,9.44676,9.47766,121974.87877452,0
CVX.V,D,20220522,000000,9.46673,10.4874,9.41774,10.4075,151161.71684821,0
CVX.V,D,20220523,000000,10.4075,11.17881,10.07789,10.2377,130455.30300761,0
CVX.V,D,20220524,000000,10.22771,10.52841,9.86913,10.43642,87776.638740208,0
CVX.V,D,20220525,000000,10.43642,10.82699,10.20876,10.72819,129247.26063629,0
CVX.V,D,20220526,000000,10.72711,10.8081,9.41868,9.87012,128590.85488838,0
CVX.V,D,20220527,000000,9.87012,9.91008,9.17989,9.30975,153536.42896949,0
CVX.V,D,20220528,000000,9.30938,9.51952,9.02879,9.28921,107982.42442574,0
CVX.V,D,20220529,000000,9.25897,9.80939,9.1571,9.51952,115184.99791095,0
CVX.V,D,20220530,000000,9.50934,10.53262,9.41963,10.44164,154205.93943885,0
CVX.V,D,20220531,000000,10.44268,10.88129,10.13087,10.19184,216467.32287961,0
CVX.V,D,20220601,000000,10.19215,10.40261,9.09998,9.2117,221961.25667316,0
CVX.V,D,20220602,000000,9.19209,9.34159,8.60225,8.882,228453.07306632,0
CVX.V,D,20220603,000000,8.85203,8.97282,8.23341,8.36272,192200.24569328,0
CVX.V,D,20220604,000000,8.37271,8.58175,8.24134,8.45357,336701.40047904,0
CVX.V,D,20220605,000000,8.47356,8.66306,8.26297,8.502,463045.21542273,0
CVX.V,D,20220606,000000,8.50209,8.9126,8.36297,8.45289,766555.55949723,0
CVX.V,D,20220607,000000,8.46322,8.49295,7.42354,7.87354,692909.03052993,0
CVX.V,D,20220608,000000,7.89392,7.92389,7.43524,7.59506,682590.16307013,0
CVX.V,D,20220609,000000,7.60505,7.75496,7.29452,7.50369,562870.49729259,0
CVX.V,D,20220610,000000,7.48363,7.5239,6.2925,6.40186,759523.0485104,0
CVX.V,D,20220611,000000,6.39181,6.41281,5.35335,5.51376,443896.92772075,0
CVX.V,D,20220612,000000,5.5237,5.65372,4.96294,5.24354,426926.88484544,0
CVX.V,D,20220613,000000,5.24354,5.2436,4.09328,4.1642,1770347.5895714,0
CVX.V,D,20220614,000000,4.16425,4.17419,3.64438,3.86536,3602712.5060827,0
CVX.V,D,20220615,000000,3.84534,4.21515,3.42317,4.08387,4563105.8373954,0
CVX.V,D,20220616,000000,4.13,4.1725,3.35,3.5325,855762.11264306,0
CVX.V,D,20220617,000000,3.4482,3.9175,3.37527,3.60667,2126600.7611892,0
CVX.V,D,20220618,000000,3.6057,3.66167,3.10534,3.2647,3283884.9787698,0
CVX.V,D,20220619,000000,3.25472,5.21374,3.2447,4.08468,2430339.012615,0
CVX.V,D,20220620,000000,4.0425,4.545,3.76,4.27486,799297.11821915,0
CVX.V,D,20220621,000000,4.27529,4.88511,4.18539,4.45509,676556.32218519,0
CVX.V,D,20220622,000000,4.45509,4.47552,4.11588,4.27572,426832.85735315,0
CVX.V,D,20220623,000000,4.26573,4.62537,4.18539,4.37562,341868.23349236,0
CVX.V,D,20220624,000000,4.37562,5.04616,4.37562,4.89618,1041399.6338312,0
CVX.V,D,20220625,000000,4.91508,5.25474,4.68672,4.90656,554667.54383007,0
CVX.V,D,20220626,000000,4.90656,5.46577,4.46872,4.73711,769571.46503571,0
CVX.V,D,20220627,000000,4.71722,4.72721,4.16612,4.31616,227937.53471466,0
CVX.V,D,20220628,000000,4.31616,4.3559,3.89516,3.9451,253517.76106227,0
CVX.V,D,20220629,000000,3.95509,3.95509,3.55502,3.61562,534035.46881938,0
CVX.V,D,20220630,000000,3.60567,4.72432,3.50579,4.23491,2286286.2707618,0
CVX.V,D,20220701,000000,4.23491,4.83468,3.85498,4.13545,1391201.9690297,0
CVX.V,D,20220702,000000,4.13545,4.22535,3.86297,3.97822,918063.5367721,0
CVX.V,D,20220703,000000,3.97622,4.26345,3.89094,4.11065,1189920.6957193,0
CVX.V,D,20220704,000000,4.10466,4.43867,4.00479,4.41669,357465.27180764,0
CVX.V,D,20220705,000000,4.38473,6.47287,4.34478,5.95344,3821364.1536425,0
CVX.V,D,20220706,000000,5.97342,6.1732,5.50339,5.88352,1150332.7606347,0
CVX.V,D,20220707,000000,5.89351,6.45289,5.68374,6.1563,464412.93318384,0
CVX.V,D,20220708,000000,6.1663,6.1663,5.55611,5.8265,375118.34902434,0
CVX.V,D,20220709,000000,5.83591,6.89517,5.80651,6.55606,535519.62743424,0
CVX.V,D,20220710,000000,6.54541,6.71597,5.86589,5.95642,317389.51482025,0
CVX.V,D,20220711,000000,5.93644,5.93644,5.50449,5.50504,274503.17430629,0
CVX.V,D,20220712,000000,5.50504,5.56443,5.14485,5.15484,513982.39064701,0
CVX.V,D,20220713,000000,5.17498,6.2937,5.10458,6.15446,824932.56203347,0
CVX.V,D,20220714,000000,6.17444,6.63602,5.65547,6.22626,864488.52607831,0
CVX.V,D,20220715,000000,6.22626,6.9965,6.1563,6.73798,463451.19866476,0
